,Driver,Date_of_accident,GP,Session_
0,Cameron Earl (UK),1952-06-18,MIRA,Test
1,Chet Miller (USA),1953-05-15,Indianapolis Motor Speedway,Practice
2,Charles de Tornaco (BEL),1953-09-18,Autodromo di Modena,Practice
3,Onofre Marimón (ARG),1954-07-31,Nürburgring,Practice
4,Mario Alborghetti (ITA),1955-04-11,Circuit de Pau-Ville,Race
5,Manny Ayulo (USA)[note 2],1955-05-16,Indianapolis Motor Speedway,Practice
6,Bill Vukovich (USA),1955-05-30,Indianapolis Motor Speedway,Race
7,Eugenio Castellotti (ITA),1957-03-14,Autodromo di Modena,Test
8,Keith Andrews (USA),1957-05-15,Indianapolis Motor Speedway,Practice
9,Pat O'Connor (USA),1958-05-30,Indianapolis Motor Speedway,Race
10,Luigi Musso (ITA),1958-07-06,Circuit de Reims-Gueux,Race
11,Peter Collins (UK),1958-08-03,Nürburgring,Race
12,Stuart Lewis-Evans (UK)[note 3],1958-10-19,Circuit d'Ain-Diab,Race
13,Jerry Unser Jr. (USA)[note 4],1959-05-02,Indianapolis Motor Speedway,Practice
14,Bob Cortner (USA),1959-05-19,Indianapolis Motor Speedway,Practice
15,Harry Schell (USA),1960-05-13,Silverstone Circuit,Practice
16,Chris Bristow (UK),1960-06-19,Circuit de Spa-Francorchamps,Race
17,Alan Stacey (UK),1960-06-19,Circuit de Spa-Francorchamps,Race
18,Shane Summers (UK),1961-06-01,Brands Hatch,Practice
19,Giulio Cabianca (ITA)[note 6],1961-06-15,Autodromo di Modena,Test
20,Wolfgang von Trips (GER)[note 7],1961-09-10,Autodromo Nazionale di Monza,Race
21,Ricardo Rodríguez (MEX),1962-11-01,Autódromo Magdalena Mixiuhca,Practice
22,Gary Hocking (FRN),1962-12-21,Westmead Circuit,Practice
23,Carel Godin de Beaufort (NED)[note 8],1964-08-01,Nürburgring,Practice
24,John Taylor (UK)[note 9],1966-08-07,Nürburgring,Race
25,Lorenzo Bandini (ITA)[note 10],1967-05-07,Circuit de Monaco,Race
26,Bob Anderson (UK),1967-08-14,Silverstone Circuit,Test
27,Jo Schlesser (FRA),1968-07-07,Circuit de Rouen-les-Essarts,Race
28,Gerhard Mitter (GER),1969-08-01,Nürburgring,Practice
29,Martin Brain (UK),1970-05-25,Silverstone Circuit,Race
30,Piers Courage (UK),1970-06-21,Circuit Park Zandvoort,Race
31,Jochen Rindt (AUT),1970-09-05,Autodromo Nazionale di Monza,Qualifying
32,Jo Siffert (SUI),1971-10-24,Brands Hatch,Race
33,Roger Williamson (UK),1973-07-29,Circuit Park Zandvoort,Race
34,François Cevert (FRA),1973-10-06,Watkins Glen International,Qualifying
35,Peter Revson (USA),1974-03-22,Kyalami Racing Circuit,Test
36,Helmuth Koinigg (AUT),1974-10-06,Watkins Glen International,Race
37,Mark Donohue (USA)[note 11],1975-08-17,Österreichring,Practice
38,Tom Pryce (UK)[note 12],1977-03-05,Kyalami Racing Circuit,Race
39,Brian McGuire (AUS)[note 13],1977-08-29,Brands Hatch,Practice
40,Ronnie Peterson (SWE)[note 14],1978-09-10,Autodromo Nazionale di Monza,Race
41,Patrick Depailler (FRA),1980-08-01,Hockenheimring,Test
42,Gilles Villeneuve (CAN),1982-05-08,Circuit Zolder,Qualifying
43,Riccardo Paletti (ITA),1982-06-13,Circuit Gilles Villeneuve,Race
44,Elio de Angelis (ITA)[note 15],1986-05-14,Circuit Paul Ricard,Test
45,Roland Ratzenberger (AUT),1994-04-30,Autodromo Enzo e Dino Ferrari,Qualifying
46,Ayrton Senna (BRA),1994-05-01,Autodromo Enzo e Dino Ferrari,Race
47,John Dawson-Damer (UK)[note 16],2000-06-24,Goodwood Hillclimb,Run
48,Fritz Glatz (AUT),2002-07-14,Autodrom Most,Race
49,Denis Welch (UK),2014-07-27,Silverstone Circuit,Race
50,Jules Bianchi (FRA)[note 17],2014-10-05,Suzuka International Racing Course,Race
51,David Ferrer (FRA)[note 18],2017-09-02,Circuit Park Zandvoort,Race
